Report,District Name,RCDTS,Participating?,NCESID,ROE,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e
Curtis Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Curtis Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,378,,93.7,5,,,,,11.6,9.3,,97.1,5.6,11.8,86.8,31.1,271,73.8,,,26.7,5,,,,,78.8,,,3,,,18,1,14,1,14,1,30,2,57,3,90.5,72.2,7,210,2,209,42.1,41.8,3,70,4.3,,,54.7,47,63,,,9,54,,7446,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beasley Elementary Magnet Academic Ctr- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Beasley Elementary Magnet Academic Ctr,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,1046,,96.8,1.5,,,,1.2,12.6,9.5,,70.9,9.2,16.5,91,4.3,440,53.3,,,23.9,1,,,,,94.4,,,1,,,61,4,54,3,53,3,26,2,58,3,57.8,71.9,104,571,83,568,43.9,48.2,79,201,39.3,,,33,9,9,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mays Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Mays Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,238,,95.4,4.2,,,,,16.4,15.1,4.6,77.7,5,8.3,90,20.9,144,64.3,,,25.4,2.2,,,,,87.5,,,2,,,62,4,73,4,65,4,50,3,91,5,70.1,64.5,6,149,1,149,49.3,45.2,8,47,17,,,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metcalfe Elementary Community Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Metcalfe Elementary Community Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,328,,96,3,,,,,14,12.2,,96,15.2,8.1,89.1,19.1,163,55.4,,,20.1,3,,,,,93.1,,,1,,,,0,,0,,0,,0,,0,1.2,22.2,14,189,2,189,44.2,47.4,7,63,11.1,,,42.6,24,37,,,22,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decatur Classical Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Decatur Classical Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 7,,Exemplary,323,45.2,4.3,13.9,27.9,,,8.4,21.7,7.4,,14.9,,100,94.6,,,,,,26.9,5,,,,,84.6,,,2,,,84,5,91,5,97,5,62,4,72,4,94,99.9,191,210,182,208,74.3,56.5,55,55,100,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanoon Elementary Magnet School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Kanoon Elementary Magnet School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,411,,,99.3,,,,,16.1,12.7,53.5,96.8,,44.1,88.9,8.7,160,42.1,,,21.8,,,,,,88.5,,,1,,,74,4,85,5,79,4,36,2,53,3,73.3,88.6,32,295,16,295,45.1,47.9,33,110,30,,,43.9,11,11,,,9,2,,7452,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randolph Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Randolph Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,331,,84,15.4,,,,,16.6,8.2,10.9,95.8,4.8,54.8,91.3,19.8,179,58.9,,,25.4,5,,,,,88.5,,,3,,,46,3,35,2,20,2,38,2,53,3,94.6,77.1,34,209,9,209,55.7,51.6,18,66,27.3,,,34.3,2,2,,,1,1,,7453,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poe Elementary Classical School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Poe Elementary Classical School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 7,,Exemplary,227,,84.1,7.5,,,,4.4,12.3,,,37.4,,,95.2,,27,13.5,,,24,2,,,,,87.5,,,1,,,23,2,51,3,79,4,47,3,64,4,99.1,77.8,111,138,75,138,60,58,32,39,82.1,,,7.5,3,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CICS - Bond Campus- City of Chicago SD 299,City of Chicago SD 299,15016299025280C,,1.71E+11,15,School,CICS - Bond Campus,Chicago,Cook,UNIT,LARGE,CHARTER SCH,K - 6,,Commendable,253,,93.3,,,,,4.7,12.6,10.3,,95.7,,,86.5,12.9,160,69.3,,,16.2,1,,,,,30.6,,,1,,,71,4,62,4,55,3,54,3,81,5,99.9,81.8,12,143,7,141,47.8,54.9,3,35,8.6,,,50.8,17,33,,,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunsaulus Elementary Scholastic Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Gunsaulus Elementary Scholastic Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,651,1.5,2.3,92.9,2.6,,,,16.3,10.1,44.9,82,,32.4,94.4,1.9,94,16.3,,,22.9,,,,,,80.9,,,2,,,39,2,49,3,63,4,46,3,47,3,94.6,80.4,75,443,77,442,39.7,57.3,74,150,49.3,,,12.7,Not Provided,Not Provided,,,Not Provided,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Univ of Chicago Chtr-Donoghue- City of Chicago SD 299,City of Chicago SD 299,15016299025281C,,1.71E+11,15,School,Univ of Chicago Chtr-Donoghue,Chicago,Cook,UNIT,LARGE,CHARTER SCH,PK - 5,,Targeted,456,,96.7,2.4,,,,,9.2,6.6,3.1,87.1,,,91,4.8,235,59.9,,,24.4,0,,,,,75.9,,,2,,,67,4,65,4,70,4,33,2,81,5,87.6,89.1,32,220,28,219,53.3,48.7,11,65,16.9,,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninos Heroes Elementary Academic Ctr- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Ninos Heroes Elementary Academic Ctr,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,290,,86.9,13.1,,,,,13.4,9.3,12.4,92.8,,31.3,88.1,20.1,162,62.3,,,26.3,1,,,,,81,,,2,,,40,3,24,2,30,2,24,2,47,3,77.3,58.3,19,174,8,172,51,51.8,17,57,29.8,,,43.8,13,14,,,10,4,,7464,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Diego Elementary Community Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,De Diego Elementary Community Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,414,3.9,25.8,67.6,,,,,30.7,21.3,15.2,89.4,12.3,1.6,85.6,8.7,237,65.3,,,20.2,2,,,,,86.5,,,1,,,62,4,52,3,48,3,17,1,34,2,66.7,56.7,35,273,20,272,54.2,45.4,25,104,24,,,58.8,22,27,,,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turner-Drew Elementary Language Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Turner-Drew Elementary Language Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 8,,Targeted,199,,98,,,,,,19.6,16.6,,83.4,,0,93,,71,39.2,,,18.1,2,,,,,100,,,1,,,78,4,93,5,91,5,50,3,71,4,93.5,78.3,30,128,15,128,52.2,46.6,10,46,21.7,,,26.1,10,12,,,Not Provided,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabin Elementary Magnet School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Sabin Elementary Magnet School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Targeted,316,3.2,19.9,75.9,,,,,19.6,8.5,28.8,86.7,7,0,87.5,10.2,152,58.5,,,16.3,5,,,,,94.1,,,1,,,31,2,26,2,46,3,36,2,44,3,79.4,52.8,19,190,12,190,46.7,54.6,9,65,13.8,,,50.8,26,38,,,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saucedo Elementary Scholastic Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Saucedo Elementary Scholastic Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,868,,4.8,94.6,,,,,21.1,15.4,44,92.9,2.4,10.5,90.1,5.7,283,39.7,,,23.2,5,,,,,84.3,,,1,,,28,2,33,2,50,3,34,2,44,3,87.3,61.2,63,511,53,511,42.1,48,82,172,48,,,36.5,15,19,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIPP Chicago Charters - Ascend Academy- City of Chicago SD 299,City of Chicago SD 299,15016299025282C,15016299025282C,1.71E+11,15,School,KIPP Chicago Charters - Ascend Academy,Chicago,Cook,UNIT,LARGE,CHARTER SCH,K - 8,,Comprehensive,905,,93.9,5.2,,,,,13.9,11.2,1.2,94.6,11.9,0,89.8,14.1,562,66.8,,,30.8,0,,,,,21.1,,,6,,,54,3,57,3,46,3,35,2,58,3,98.3,81.7,58,588,23,587,47.6,46.9,55,170,32.9,,,38.3,12,19,,,1,18,,64413,,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daley Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Daley Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,484,,8.9,90.1,,,,,16.5,10.7,60.1,99.4,,14.3,90.7,12.7,105,24,,,24.6,1,,,,,72.2,,,2,,,31,2,36,2,29,2,34,2,38,2,97.6,92.5,9,308,5,305,39.6,43.1,15,88,17,,,29,24,31,,,25,6,,7477,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madero Middle School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Madero Middle School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,6 - 8,,Comprehensive,252,,,99.2,,,,,26.6,17.9,43.7,86.9,,16.9,89.8,3.9,64,25,,,21,5,,,,,90.6,,,2,,,66,4,69,4,71,4,60,4,85,5,92.1,64.3,38,253,16,253,49.5,50.4,24,81,30,,,36.3,18,27,,,22,5,,7478,Middle/Jr. High,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEARN Chtr - Butler- City of Chicago SD 299,City of Chicago SD 299,15016299025283C,,1.71E+11,15,School,LEARN Chtr - Butler,Chicago,Cook,UNIT,LARGE,CHARTER SCH,K - 8,,Commendable,515,,94.4,,,,,3.9,9.9,6.8,,94.2,3.9,0,93.5,6.4,214,46.4,,,18.1,0,,,,,5,,,2,,,71,4,82,5,92,5,58,3,83,5,99.6,99.9,59,321,37,318,55.4,58.4,31,108,28.7,,,20.4,Not Provided,Not Provided,Not Provided,,,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orozco Elementary Fine Arts & Sciences- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Orozco Elementary Fine Arts & Sciences,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Exemplary,277,,,98.6,,,,,16.2,11.6,53.1,79.1,,51.7,94.6,,15,6.9,,,26.7,,,,,,78.4,,,3,,,48,3,49,3,62,4,63,4,67,4,95.8,70.6,83,166,49,166,65.7,58.8,39,60,65,,,12.2,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morton Elementary Career Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Morton Elementary Career Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,180,7.2,79.4,13.3,,,,,24.4,20,,89.4,8.9,20,89.5,17,86,54.4,,,16,2,,,,,81.8,,,2,,,35,2,35,2,51,3,34,2,68,4,86.4,76.7,26,105,3,106,62.4,56.8,4,34,11.8,,,39.5,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Chtr Sch Network  - Jovita Idar Elementary School- City of Chicago SD 299,City of Chicago SD 299,15016299025284C,,1.71E+11,15,School,Acero Chtr Sch Network  - Jovita Idar Elementary School,Chicago,Cook,UNIT,LARGE,CHARTER SCH,K - 8,,Commendable,521,,,98.7,,,,,14,11.1,63.3,81.4,,0,91.5,6.1,186,38.4,,,29.7,0,,,,,78.9,,,2,,,22,2,9,1,39,2,35,2,35,2,95,87.1,65,355,34,356,43.7,49.6,58,115,50.4,,,32.2,4,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Park Multicultural Elem- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Albany Park Multicultural Elem,Chicago,Cook,UNIT,LARGE,ELEMENTARY,7 - 8,,Targeted,221,5.4,5,83.7,4.5,,,,24.4,12.7,48.9,89.6,,30,92.5,8.7,47,20,,,25.4,3,,,,,83.9,,,2,,,68,4,81,5,56,3,37,2,59,3,96.3,83.3,38,223,19,221,41.7,49.7,42,119,35.3,,,28.1,8,12,,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Loop Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,South Loop Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,801,29.7,37.1,11.6,12.6,,,8.1,13.4,9.5,7,28.1,,40.7,93.5,6.9,167,25,,,27.7,5,,,,,90.9,,,2,,,60,4,58,3,67,4,37,2,46,3,95.1,86.4,240,488,217,487,53,62.3,128,181,70.7,,,17.5,78,122,,,84,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenart Elementary Regional Gifted Ctr- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Lenart Elementary Regional Gifted Ctr,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,289,13.8,63,4.5,14.9,,,3.8,11.4,,,33.9,,100,95.6,,13,5.9,,,26.5,5,,,,,86.7,,,1,,,50,3,28,2,64,4,37,2,58,3,94.1,66.7,135,163,103,163,47.3,52.7,44,46,95.7,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Chtr Sch Network - PFC Omar E Torres Elementary Sch- City of Chicago SD 299,City of Chicago SD 299,15016299025285C,,1.71E+11,15,School,Acero Chtr Sch Network - PFC Omar E Torres Elementary Sch,Chicago,Cook,UNIT,LARGE,CHARTER SCH,K - 8,,Targeted,530,,,98.1,,,,,18.3,13.2,60,91.5,,0,90.3,4.8,197,39.3,,,26.8,0,,,,,85.3,,,4,,,37,2,23,2,45,3,43,3,39,2,95,86.8,49,386,31,388,46.5,47.3,44,137,32.6,,,37.8,9,11,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casals Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Casals Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,325,,33.2,64.3,,,,,18.8,11.1,26.2,91.7,,20.8,93,23.7,113,34.9,,,24.3,3,,,,,78.4,,,2,,,51,3,49,3,54,3,87,5,86,5,59.4,88.6,95,231,43,231,71.2,63.1,35,92,38,,,25,15,19,,,7,12,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perez Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Perez Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,258,,,93.8,,,,,28.3,18.2,37.2,84.1,,50,92.7,9.7,93,39.7,,,20.2,2,,,,,91.2,,,2,,,43,3,62,4,61,4,74,4,77,4,53.6,81.3,44,175,22,175,59.6,55.6,34,56,60.7,,,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruiz Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Ruiz Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,432,,,94.9,,,,,26.2,19.4,38.4,84.7,,30.5,89.5,9,167,43.5,,,25.3,2,,,,,90.8,,,3,,,52,3,50,3,58,3,40,3,44,3,92.2,75,56,287,30,287,48.4,49.6,41,102,40.2,,,41.7,11,13,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton Park Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Brighton Park Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,272,,,93.8,,,,,19.1,17.3,56.6,95.6,,34.3,89.5,12.3,81,32,,,22.5,5,,,,,90.2,,,1,,,44,3,35,2,52,3,55,3,63,4,89.3,73.5,35,173,13,172,49.1,55.3,27,64,42.2,,,41.6,,,,,,,,7508,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergreen Academy Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Evergreen Academy Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,6 - 8,,Commendable,201,,,88.1,,,,,21.4,14.4,34.3,89.6,,25,92.4,7.6,46,21.8,,,26.2,5,,,,,100,,,1,,,81,5,80,5,78,4,60,4,85,5,94.9,96,52,198,24,198,48.4,49.9,30,69,44.1,,,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Carson Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,786,,2.7,96.4,,,,,10.8,8.1,67.7,93.9,1.3,28.6,93.1,8.9,183,26,,,25.7,1,,,,,70.2,,,2,,,35,2,45,3,54,3,33,2,48,3,94.8,57.1,182,538,96,534,60.2,63,80,190,42.1,,,20.3,9,11,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McAuliffe Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,McAuliffe Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,570,1.9,4.6,92.1,,,,,18.1,12.1,42.3,72.8,1.8,3.7,88.8,8.2,192,39.9,,,21.8,2,,,,,89.7,,,1,,,42,3,39,2,53,3,47,3,43,3,99.7,87.7,46,354,18,353,49.3,49.9,34,115,29.6,,,43.2,16,20,,,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galileo Elementary Math & Sci Schol Acd- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Galileo Elementary Math & Sci Schol Acd,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 8,,Commendable,539,10.2,25,57,3.5,,,4.1,24.3,14.8,17.1,50.3,,49.1,93.6,2.2,90,19,,,24.2,1,,,,,92.7,,,1,,,69,4,62,4,67,4,42,3,55,3,94.4,84.3,142,344,102,342,52.8,56.7,64,110,58.2,,,18.1,11,13,,,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avondale - Logandale Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Avondale - Logandale Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,509,,7.3,88.6,,,,,21.8,15.1,45,91.2,,1.4,90.8,10.6,76,16.4,,,26.4,5,,,,,92.1,,,1,,,56,3,61,4,63,4,53,3,66,4,99,85.2,74,349,41,348,55.2,50.8,49,122,40.2,,,33.1,13,17,,,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chavez Elementary Multicultural Acad Ct- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Chavez Elementary Multicultural Acad Ct,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,812,,1.5,97.8,,,,,13.3,10.5,45.9,96.8,1.4,39.8,93.1,5,262,37.9,,,24.1,5,,,,,84.1,,,3,,,62,4,55,3,63,4,47,3,56,3,99,93.2,143,510,139,512,56.3,59.6,74,172,43,,,24,13,17,,,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Elementary Community School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Jordan Elementary Community School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Targeted,493,11.6,26.4,51.7,7.7,,,,23.3,19.9,61.7,89.7,,31.1,90.4,12.9,201,48.8,,,29.4,1,,,,,92.9,,,1,,,38,2,38,2,39,2,45,3,54,3,94.2,66.7,22,275,19,275,43.2,51.3,18,100,18.2,,,38,7,7,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellman Corporate Community Elem- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,1.50E+14,1.71E+11,15,School,Kellman Corporate Community Elem,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Intensive,202,,98,,,,,,17.3,8.9,,98,8.4,0,91.4,,73,43.7,,,20.8,2,,,,,87.5,,,1,,,37,2,46,3,48,3,37,2,54,3,91.3,88,5,125,2,125,40.2,37.1,3,44,6.8,,,32.3,5,6,,,6,Not Provided,,7530,Elementary,6827,15,CPS,2023,ISI/RNA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finkl Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Finkl Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,206,,15.5,79.6,,,,,28.2,26.2,44.7,94.2,,10.8,89.7,19.7,97,48,,,19.6,5,,,,,84.6,,,4,,,55,3,51,3,61,4,42,3,57,3,99.9,92.7,23,153,19,153,50.6,52.7,19,62,30.6,,,35.2,7,11,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel Elementary Community Academy- City of Chicago SD 299,City of Chicago SD 299,1.50E+14,,1.71E+11,15,School,Ariel Elementary Community Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Targeted,352,,96,3.1,,,,,20.2,17.9,,80.1,,0,88.4,7,202,67.8,,,18.4,1.1,,,,,78.6,,,3,,,53,3,45,3,48,3,22,2,42,3,74.1,87.3,30,223,16,224,48.6,43.9,13,80,16.5,,,46.5,2,2,,,Not Provided,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
